,age_residents,race_residents,typeof_household_residents,education_residents,ownorrent_residents,transportationtype_residents,income_residents,housing_values_residents,rent_residents,age_workers,race_workers,typeof_household_workers,education_workers,ownorrent_workers,transportationtype_workers,income_workers,housing_values_workers,rent_workers
Non-Residential Heat,0.0012183420915771875,,,,0.00074101513785924087,0.0018917764772035401,,,0.0015727339039211608,0.002546289365000043,,,,0.00062657869535227254,,,,
Rodent,0.012107260909564731,0.0044505988104170842,0.0081185735575729154,,0.011707526824870425,0.19910741497244633,0.030399219745206346,,0.018258409826196729,,,,,,,,,
Standing Water,,,,,,0.047215351377473555,,,,,,,,,,,,
EAP Inspection - F59,,,,,,,,,,,0.020041320411576986,0.0022388065977122563,0.0051055499449265303,,0.015701217267132646,0.0032968854630640778,,0.0023245887457383433
Derelict Vehicle,,,,,,0.35393305232581651,,,,,,,,,,,,
Panhandling,,,0.00016239630070056464,,,,,,,,,,,,,,,
Taxi Complaint,0.025859610345290315,,0.02954428064326696,0.023496776293954788,0.0075107836705890088,0.64711092564070194,0.036148066822449733,,0.04967802752681745,0.053172263230323868,0.079448317262808099,0.010368554615772258,0.91546769206404388,0.014370380926142567,0.068067513938646865,0.075900483654031098,0.10138108235953658,0.020419123075452045
Maintenance or Facility,,,0.0015393880983469812,,0.001405766054203071,,0.0032048250330324432,,,,,,,,,,,
HEAT/HOT WATER,0.048659887485072481,0.036517671271668814,0.060069301734141697,,0.081192406598613764,0.087636272292181475,0.18477944780127448,,0.090222619439523588,,,,,,,,,
Hazardous Materials,,0.00088463403043579801,0.001373679108758854,0.0041506851000741836,0.001166922100256108,0.085667691057668915,0.001616762869291266,,0.00240384213241352,,,,,,,,,
UNSANITARY CONDITION,0.026379215663674477,0.01441712948258886,0.033113917056914369,0.14874911844583588,0.035173627654683591,0.040318736243273978,0.075813933911252102,,0.044435353938015759,,,,,,,,,
Recycling Enforcement,0.00040020627817880867,0.00016969082368705651,0.00027312616791662456,0.0003718680416656556,0.00026507813119592129,0.038541915331686313,0.00033682323521293516,,0.00050034325738318377,,,,,,,,,
Food Poisoning,0.0021095588691975144,,0.0027232350339103919,0.0027647520012126924,0.0011464716939843052,0.015345673806699947,0.0034677481535221682,,0.0042939504397487482,0.0043486953729141471,0.0041221169130951181,0.00029575823753333179,0.12521952125162822,0.0016768628927305057,0.011265270003852973,0.00702203426380359,0.013787399744608134,0.0018685806641333517
Noise,0.05839974644366297,,0.065877899064812201,0.076389226770582561,0.021756396625415873,2.3146470767432588,0.078989656937563907,,0.11201396028271426,,,,,,,,,
Broken Parking Meter,,,,,,,0.00016979926676637022,,,,,,,,,,,
Indoor Sewage,0.00048454322661210044,0.00040377300126361086,0.00077719436354000662,0.00096373373737144736,,0.00064505069960801137,0.0013561831706708984,,0.00095840305314084267,,,,,,,,,
OUTSIDE BUILDING,0.00040715429278143387,0.00029473250362744901,0.00067144887113302167,,0.00068791056890115309,0.00086107463582015204,0.0010807576546531484,,0.00084887285389115253,,,,,,,,,
Construction,,,,,,,,,,,0.16001639588964711,,,,,,,
Noise - Vehicle,0.010899441944793505,0.0073498619470578723,0.0063386023273926968,,0.0079370709579026678,0.0068626574834116166,0.016194758557178078,,0.0083503388001446958,,,,,,,,,
Noise - Street/Sidewalk,0.034634480281072209,0.011411407322892819,,,0.024261682124223437,0.021874590345069181,0.057349015029415987,,0.033156807722054774,,,,,,,,,
Drinking,0.00046992451545696393,0.0010549270588195946,0.00044832599203012673,0.0013886512118162155,0.00049316992293580277,0.00038372056356360718,0.00076671327845833498,,0.00075130330461857368,,,,,,,,,
Building/Use,,,,0.018955068654777633,,0.22879064845590324,,,,,,,,,,,,
Water Conservation,,,,,,0.028853508920936306,,,,,,,,,,,,
HEATING,0.032743636071894233,0.027543421602463636,,,0.061272527091779813,,0.12739634771028557,,0.069368272439721879,,,,,,,,,
Gas Station Discharge Lines,,,,,,,,,,2.0753672410874732e-06,,1.5676437176692926e-07,,1.4387565113646661e-07,,,,
Sewer,,,,,0.028982809918834371,0.030736548396971226,,0.051546880909625163,,,,,,,,,,
FLOORING/STAIRS,0.0098621965475202446,0.0062239631212389138,,,0.013835192379528655,,0.03592256204665914,,0.01876379815647778,,,,,,,,,
Sidewalk Condition,0.0030528355079152245,0.001575670986670078,0.0031363426175049034,0.0048455211251128109,0.0017970191156663809,0.20202404008951888,0.0042383059280934081,0.0074020328608944081,0.0058976393990729419,,,,,,,,,
Curb Condition,,,0.00078395570659933311,0.00065517138467996309,,,,,0.0013170035950124896,,,,,,,,,
Dead Tree,,,,,0.011842837987947139,0.24477289421364198,,0.012908877083768082,,,,,,,,,,
Unsanitary Animal Pvt Property,0.00086801079972355258,0.00093926331773794996,0.0011936436518282781,0.0014567441827640988,,,,,,,,,,,,,,
Street Condition,,0.037276544952769192,,,0.076455519584401332,1.2274681902244573,,0.099194974217908793,,,,,,,,,,
APPLIANCE,0.0052656369853415676,0.0026006591580435613,,,0.0062537067242864211,0.0070538606136763427,0.016768321221072285,,0.0097270126026412496,,,,,,,,,
Snow,,,,,,0.21384498525696466,,,,,,,,,,,,
Indoor Air Quality,0.0043075712368985395,,0.004146253113566192,0.0043150287049859423,0.002501123178509508,0.0040133674323697636,0.004027855523056542,,0.004805444173899171,,,,,,,,,
Electrical,0.001240930429678913,,0.0015814014591036952,,0.0013052158412366643,0.08438420072267401,0.0033779697844766878,,0.0020589102543142751,,,,,,,,,
Homeless Person Assistance,0.0028790794985649043,,0.0029249379753776695,,0.00092976116474166798,0.019622071119303489,0.0037073005434061575,,0.0046164146530714599,0.0050124374445572849,0.0074360676420652232,0.00059290149543036119,0.1301315267318579,0.001592840194518426,0.0090134842747634954,0.01293848870924098,0.012850464832427378,0.0027709560915514971
Noise - Commercial,0.048509718973830052,,0.035207029282536738,0.072693496171077177,0.022273501023844147,1.6431544115286809,,,0.040003525423363023,,,,,,,,,
School Maintenance,,0.00019478449354223986,,,,,,,,,,,,,,,,
Food Establishment,0.0053374427590425211,0.0023947645603614063,0.0061945595361779463,0.0086593008005792591,0.0030628984343939059,0.147395423584916,0.0076873734278380236,,0.0097137702794859778,0.016268273451461431,0.011643445874276698,0.0017699238357945491,0.35310387667650295,0.0035396669307858719,0.031752315044042599,0.012736457585584926,0.02595454139032103,0.0022570069193781758
Smoking,,,,,0.00085513944440878775,0.0061837738574807288,0.0018586082091669935,,0.0016404307770783561,,,,,,,,,
Noise - House of Worship,,0.00051160661092679511,,,,0.00056769346303769865,,,,,,,,,,,,
DOOR/WINDOW,0.013548164465941729,0.0076556713586233656,,,0.018016512226149944,0.020600688278297034,0.044420358166619843,,0.024514390371140587,,,,,,,,,
Root/Sewer/Sidewalk Condition,,,,,0.010354338106252319,0.12901080973549278,,0.015004586606897977,,,,,,,,,,
CONSTRUCTION,,5.2676889564780231e-05,,,,,,,,,,,,,,,,
Plumbing,0.002016975905105575,,0.0018277851329247842,,0.0016144153964292387,0.084789018334743366,,,,,,,,,,,,
Air Quality,0.00610051234753624,0.0026781710290391964,0.0072231026211419386,0.0071336373877798169,0.0028722251247940041,0.33228036970729358,0.0089864366530675727,,0.012121924886704428,,,,0.38054805872582165,0.0041991772745048825,0.040324400710231953,,,
Taxi Report,,,0.0008490183735399339,,,,0.0010715151547861031,,0.0014922306171545779,0.0021712435657308331,0.0036481139516731736,0.00045340699830719787,0.023517868921939085,0.00036564468771763564,0.0013726137901278227,0.0011065410930501582,0.0019774471257572213,0.00038384669572307271
NONCONST,0.0042289780663140883,0.0021524938651913466,0.0047067047814912111,0.015592208734614034,0.0052315370990168673,0.0062336841981634047,0.011947396424304731,,0.0070638585766647135,,,,,,,,,
Fire Alarm - Reinspection,,,,,,,,,,0.00094485606465958259,0.00047408756006123094,4.6477022011312866e-05,0.017446759667275897,0.0002604728149836997,0.0053668834006922531,0.0017581936331150056,0.0028663142310567228,0.00069602844458988272
SAFETY,0.0031794571739018947,0.001974429728047955,0.0041137097105258744,0.016197081278696721,0.0040656155265329855,0.0045849382694637762,0.008963370092669766,,0.0050971335469788479,,,,,,,,,
Litter Basket / Request,0.0011238781170503879,0.00056753917686768504,0.0014493717347051165,0.0031544346460907506,0.0010381796588581982,0.11271903953728399,0.001829874477947089,,0.0021929980534183967,,,,,,,,,
Investigations and Discipline (IAD),,0.00038753078393980773,,,,,,,,,,,,,,,,
ELECTRIC,0.014675686915223404,0.0075280700309934834,0.017212235696002637,0.045754400039638585,0.016359871683075809,0.019818017276690192,0.03234913647129814,,0.022470711530037556,,,,,,,,,
Broken Muni Meter,,,,0.091154249114050831,,,,,,0.03007161715508639,0.061699061490380097,,2.1963292973719435,0.024740989269504073,,,0.24518276427325261,
Scaffold Safety,0.00017493903913402142,,0.00025819908242241121,,0.00010190183356349165,0.014150869305623157,0.00036614314864660954,,0.00042778816280740841,,,,,,,,,
Overgrown Tree/Branches,,,,,0.017333421242158125,0.059727561225353387,,0.025495525638019757,,,,,,,,,,
Elevator,0.002188902848578483,,0.0029388033144840844,,0.0051836065472364804,0.0056832992362737533,0.012795223806955606,,0.0055079777839642527,,,,,,,,,
ELEVATOR,,,,,,,0.00079052100047681236,,0.00064619490682367746,,,,,,,,,
Sweeping/Missed,,0.0003544745749005251,0.00092970789190396821,,,0.00081671759251993677,0.0038995833129072972,,0.0016911871503617025,,,,,,,,,
Fire Safety Director - F58,,,,,,,,,,0.036437007222679355,0.062834323970344746,0.0072162017557966191,0.019355542608441627,0.00270239758157413,0.03002981149266791,0.015458300706301914,0.0048526521287835167,0.0073659720243891133
PAINT/PLASTER,0.026209861740893674,0.017749790462752855,,,0.039878484323134192,0.046773106315166527,0.089307143108097342,,0.046356117854414708,,,,,,,,,
Industrial Waste,,0.00030778752087785957,,,0.00069691334445959492,,,,,,,,,,,,,
Noise - Helicopter,,,0.0021647013948698302,0.0062976709262718648,,0.030923541198190019,0.002898551479688781,,0.0034855419675061529,,,,,,,,,
Blocked Driveway,0.056992198221488558,0.041023324300573066,0.062886488617151001,0.053217578778935792,,0.042463914204670036,0.28614918189778205,,0.09339007323803028,,,,,,,,,
Graffiti,0.007620512508801431,,,,,,0.013907937896121034,,0.0098362449588459931,,,,,,,,,
Traffic,,,0.0035954515415423677,,,0.10815886982918113,,,,,,,,,,,,
Damaged Tree,,,,,0.021551928411367105,0.2400791378822329,,0.028530092039625456,,,,,,,,,,
GENERAL CONSTRUCTION,0.0093757059194181733,0.0041726387433843786,,,0.0096014522233904536,,0.024860959353106858,,0.012167595020062935,,,,,,,,,
Sanitation Condition,0.0076533051566149198,0.007840483062434591,0.016036693699543643,0.014965898171969262,,0.046969278648356538,,,,,,,,,,,,
Derelict Vehicles,0.0078645554305231524,,0.010539438838874576,0.010257096848654959,,0.0083963679664199251,,,,,,,,,,,,
Animal Abuse,0.0017984798172694357,0.0022220392896773163,0.0043893523452790866,0.0049141189745240503,,0.0028771836766087887,0.0062672674481670642,,0.0045844691746463207,,,,,,,,,
Bike/Roller/Skate Chronic,0.00065231613011992873,,0.00068398301885452773,0.00065209767087275451,0.00020375208125861889,0.017257062135449308,0.00083565247293923399,,0.0011412962776186746,,,,,,,,,
Asbestos,0.0011005827476395157,,0.0018397123453006809,0.0039696377664777786,0.00095539538505183368,0.089816095779997857,0.002576885851637299,,0.0027140979568161328,,,,,,,,,
Illegal Tree Damage,0.00068910420043603328,0.00093582808177095067,0.00078234086692841574,0.0017182720621575632,0.0013509243261092786,0.12937014924523904,0.0025543954244783749,0.0028193790408656736,,,,,,,,,,
Missed Collection (All Materials),,,,,0.01869176804371666,0.59111787348704703,,0.025474223319382455,,,,,,,,,,
