,age_residents,race_residents,typeof_household_residents,education_residents,ownorrent_residents,transportationtype_residents,income_residents,housing_values_residents,rent_residents,age_workers,race_workers,typeof_household_workers,education_workers,ownorrent_workers,transportationtype_workers,income_workers,housing_values_workers,rent_workers
EAP Inspection - F59,,,,,,,,,,,population other _n,nonfamily households_n,population education bachelors_n,,tranportation motorcycle_n,household income form 10 to 40_n,,rent 2000 or more_n
Derelict Vehicle,,,,,,tranportation motorcycle,,,,,,,,,,,,
Panhandling,,,nonfamily households,,,,,,,,,,,,,,,
Taxi Complaint,population between 18 and 34,,nonfamily households,population education bachelors,renter occupied units,tranportation motorcycle,household income 75 and above,,rent 2000 or more,population between 18 and 34_n,population other _n,nonfamily households_n,population education phd_n,renter occupied units_n,transportation public_n,household income less than 10_n,house value less than 100_n,rent less than 1000_n
Maintenance or Facility,,,nonfamily households,,renter occupied units,,household income less than 40,,,,,,,,,,,
HEAT/HOT WATER,population between 18 and 34,population hispanic,family households,,renter occupied units,transportation public,household income less than 40,,rent less than 1000,,,,,,,,,
Hazardous Materials,,population other race,nonfamily households,population education masters,owner  occupied units,tranportation motorcycle,household income 75 and above,,rent 2000 or more,,,,,,,,,
UNSANITARY CONDITION,Population under 18,population hispanic,family households,population education phd,renter occupied units,transportation public,household income less than 40,,rent less than 1000,,,,,,,,,
Recycling Enforcement,population between 18 and 34,population other race,nonfamily households,population education bachelors,renter occupied units,tranportation motorcycle,household income less than 40,,rent bewteen 1000 and 2000,,,,,,,,,
Food Poisoning,population between 18 and 34,,nonfamily households,population education bachelors,renter occupied units,tranportation motorcycle,household income less than 40,,rent 2000 or more,population between 35 to 64_n,population other _n,family households_n,population education phd_n,renter occupied units_n,transportation public_n,household income less than 10_n,house value less than 100_n,rent less than 1000_n
Noise,population between 18 and 34,,nonfamily households,population education bachelors,renter occupied units,tranportation motorcycle,household income 75 and above,,rent 2000 or more,,,,,,,,,
Broken Parking Meter,,,,,,,household income 75 and above,,,,,,,,,,,
Indoor Sewage,Population under 18,population black,family households,population education high school or less,,transportation public,household income from 40 to 75,,rent less than 1000,,,,,,,,,
OUTSIDE BUILDING,population between 18 and 34,population hispanic,family households,,renter occupied units,transportation public,household income less than 40,,rent bewteen 1000 and 2000,,,,,,,,,
Construction,,,,,,,,,,,population other _n,,,,,,,
Noise - Vehicle,population between 18 and 34,population other race,nonfamily households,,renter occupied units,transportation public,household income less than 40,,rent less than 1000,,,,,,,,,
Noise - Street/Sidewalk,population between 18 and 34,population hispanic,,,renter occupied units,transportation public,household income less than 40,,rent less than 1000,,,,,,,,,
Drinking,population between 18 and 34,population other race,family households,population education phd,renter occupied units,transportation public,household income less than 40,,rent bewteen 1000 and 2000,,,,,,,,,
Building/Use,,,,population education high school or less,,tranportation motorcycle,,,,,,,,,,,,
Water Conservation,,,,,,tranportation motorcycle,,,,,,,,,,,,
HEATING,Population under 18,population hispanic,,,renter occupied units,,household income less than 40,,rent less than 1000,,,,,,,,,
Gas Station Discharge Lines,,,,,,,,,,population between 35 to 64_n,,family households_n,,renter occupied units_n,,,,
Sewer,,,,,owner  occupied units,transportation car,,house value for 100 to 500,,,,,,,,,,
FLOORING/STAIRS,Population under 18,population hispanic,,,renter occupied units,,household income less than 40,,rent less than 1000,,,,,,,,,
Sidewalk Condition,population between 18 and 34,population other race,nonfamily households,population education masters,owner  occupied units,tranportation motorcycle,household income 75 and above,house value 500 or more,rent 2000 or more,,,,,,,,,
Curb Condition,,,family households,population education high school or less,,,,,rent bewteen 1000 and 2000,,,,,,,,,
Dead Tree,,,,,owner  occupied units,tranportation motorcycle,,house value for 100 to 500,,,,,,,,,,
Unsanitary Animal Pvt Property,population between 35 to 64,population other race,family households,population education masters,,,,,,,,,,,,,,
Street Condition,,population other race,,,owner  occupied units,tranportation motorcycle,,house value for 100 to 500,,,,,,,,,,
APPLIANCE,Population under 18,population hispanic,,,renter occupied units,transportation public,household income less than 40,,rent less than 1000,,,,,,,,,
Snow,,,,,,tranportation motorcycle,,,,,,,,,,,,
Indoor Air Quality,population between 18 and 34,,nonfamily households,population education bachelors,renter occupied units,Transportation Other means,household income less than 40,,rent 2000 or more,,,,,,,,,
Electrical,population between 18 and 34,,family households,,renter occupied units,tranportation motorcycle,household income from 40 to 75,,rent bewteen 1000 and 2000,,,,,,,,,
Homeless Person Assistance,population between 18 and 34,,nonfamily households,,renter occupied units,tranportation motorcycle,household income less than 40,,rent 2000 or more,population between 18 and 34_n,population other _n,nonfamily households_n,population education phd_n,renter occupied units_n,transportation public_n,household income less than 10_n,house value less than 100_n,rent less than 1000_n
Noise - Commercial,population between 18 and 34,,nonfamily households,population education bachelors,renter occupied units,tranportation motorcycle,,,rent 2000 or more,,,,,,,,,
School Maintenance,,population black,,,,,,,,,,,,,,,,
Food Establishment,population between 18 and 34,population other race,nonfamily households,population education bachelors,renter occupied units,tranportation motorcycle,household income less than 40,,rent 2000 or more,population between 35 to 64_n,Population asian_n,family households_n,population education phd_n,renter occupied units_n,transportation public_n,household income less than 10_n,house value less than 100_n,rent less than 1000_n
Smoking,,,,,renter occupied units,tranportation motorcycle,household income less than 40,,rent 2000 or more,,,,,,,,,
Noise - House of Worship,,population other race,,,,transportation public,,,,,,,,,,,,
DOOR/WINDOW,Population under 18,population hispanic,,,renter occupied units,transportation public,household income less than 40,,rent less than 1000,,,,,,,,,
Root/Sewer/Sidewalk Condition,,,,,owner  occupied units,tranportation motorcycle,,house value for 100 to 500,,,,,,,,,,
CONSTRUCTION,,population hispanic,,,,,,,,,,,,,,,,
Plumbing,population between 35 to 64,,family households,,owner  occupied units,tranportation motorcycle,,,,,,,,,,,,
Air Quality,population between 18 and 34,population other race,nonfamily households,population education masters,renter occupied units,tranportation motorcycle,household income 75 and above,,rent 2000 or more,,,,population education phd_n,renter occupied units_n,transportation public_n,,,
Taxi Report,,,nonfamily households,,,,household income 75 and above,,rent 2000 or more,population 65 and over_n,population other _n,nonfamily households_n,population education phd_n,renter occupied units_n,transportation public_n,household income less than 10_n,house value less than 100_n,rent 2000 or more_n
NONCONST,Population under 18,population black,family households,population education phd,renter occupied units,transportation public,household income less than 40,,rent less than 1000,,,,,,,,,
Fire Alarm - Reinspection,,,,,,,,,,population between 35 to 64_n,Population asian_n,family households_n,population education phd_n,renter occupied units_n,tranportation motorcycle_n,household income less than 10_n,house value less than 100_n,rent less than 1000_n
SAFETY,Population under 18,population hispanic,family households,population education phd,renter occupied units,transportation public,household income less than 40,,rent less than 1000,,,,,,,,,
Litter Basket / Request,population between 18 and 34,Population white,nonfamily households,population education masters,renter occupied units,tranportation motorcycle,household income less than 40,,rent 2000 or more,,,,,,,,,
Investigations and Discipline (IAD),,population other race,,,,,,,,,,,,,,,,
ELECTRIC,Population under 18,population black,family households,population education phd,renter occupied units,transportation public,household income less than 40,,rent less than 1000,,,,,,,,,
Broken Muni Meter,,,,population education masters,,,,,,population between 18 and 34_n,Population asian_n,,population education phd_n,renter occupied units_n,,,house value less than 100_n,
Scaffold Safety,population between 18 and 34,,nonfamily households,,renter occupied units,tranportation motorcycle,household income less than 40,,rent 2000 or more,,,,,,,,,
Overgrown Tree/Branches,,,,,owner  occupied units,tranportation motorcycle,,house value for 100 to 500,,,,,,,,,,
Elevator,population between 18 and 34,,family households,,renter occupied units,transportation public,household income less than 40,,rent less than 1000,,,,,,,,,
ELEVATOR,,,,,,,household income less than 40,,rent bewteen 1000 and 2000,,,,,,,,,
Sweeping/Missed,,population black,family households,,,transportation public,household income from 40 to 75,,rent bewteen 1000 and 2000,,,,,,,,,
Fire Safety Director - F58,,,,,,,,,,population 65 and over_n,population other _n,nonfamily households_n,population education bachelors_n,renter occupied units_n,Transportation Other means_n,household income form 10 to 40_n,house value 500 or more_n,rent 2000 or more_n
PAINT/PLASTER,Population under 18,population hispanic,,,renter occupied units,transportation public,household income less than 40,,rent less than 1000,,,,,,,,,
Industrial Waste,,population other race,,,owner  occupied units,,,,,,,,,,,,,
Noise - Helicopter,,,nonfamily households,population education phd,,tranportation motorcycle,household income 75 and above,,rent 2000 or more,,,,,,,,,
Blocked Driveway,population between 35 to 64,population other race,family households,population education high school or less,,transportation car,household income from 40 to 75,,rent bewteen 1000 and 2000,,,,,,,,,
Graffiti,population between 18 and 34,,,,,,household income less than 40,,rent bewteen 1000 and 2000,,,,,,,,,
Traffic,,,nonfamily households,,,tranportation motorcycle,,,,,,,,,,,,
Damaged Tree,,,,,owner  occupied units,tranportation motorcycle,,house value for 100 to 500,,,,,,,,,,
GENERAL CONSTRUCTION,Population under 18,population black,,,renter occupied units,,household income less than 40,,rent less than 1000,,,,,,,,,
Sanitation Condition,Population under 18,population other race,family households,population education high school or less,,tranportation motorcycle,,,,,,,,,,,,
Derelict Vehicles,population between 35 to 64,,family households,population education high school or less,,transportation car,,,,,,,,,,,,
Animal Abuse,population between 18 and 34,population other race,family households,population education high school or less,,transportation car,household income from 40 to 75,,rent less than 1000,,,,,,,,,
Bike/Roller/Skate Chronic,population 65 and over,,nonfamily households,population education bachelors,renter occupied units,tranportation motorcycle,household income 75 and above,,rent 2000 or more,,,,,,,,,
Asbestos,population between 18 and 34,,nonfamily households,population education masters,renter occupied units,tranportation motorcycle,household income less than 40,,rent 2000 or more,,,,,,,,,
Illegal Tree Damage,population between 18 and 34,population other race,nonfamily households,population education bachelors,owner  occupied units,tranportation motorcycle,household income from 40 to 75,house value 500 or more,,,,,,,,,,
Missed Collection (All Materials),,,,,owner  occupied units,tranportation motorcycle,,house value for 100 to 500,,,,,,,,,,
