,Population under 18,population between 18 and 34,population between 35 to 64,population 65 and over,Population white,population black,Population asian,population hispanic,population other race,family households,nonfamily households,population education high school or less,population education bachelors,population education masters,population education phd,owner  occupied units,renter occupied units,transportation car,number of cars,transportation public,tranportation motorcycle,household income less than 40,household income from 40 to 75,household income 75 and above,house value less than 100,house value for 100 to 500,house value 500 or more,rent less than 1000,rent bewteen 1000 and 2000,rent 2000 or more,Transportation Other means,population between 18 and 34_n,population between 35 to 64_n,population 65 and over_n,Population white_n,population black_n,Population asian_n,population hispanic_n,population other _n,family households_n,nonfamily households_n,population education high school and less_n,population education bachelors_n,population education masters_n,population education phd_n,household income less than 10_n,owner  occupied units_n,renter occupied units_n,transportation car_n,transportation public_n,tranportation motorcycle_n,household income less than 10_n,household income form 10 to 40_n,household income form 40 to 75_n,household income 75 and above_n,house value less than 100_n,house value for 100 to 500_n,house value 500 or more_n,rent less than 1000_n,rent bewteen 1000 and 2000_n,rent 2000 or more_n,Transportation Other means_n,Intercept
Bus Stop Shelter Placement,,,,,5.4265180698962646e-05,3.7017876116790242e-05,8.8788321393136515e-06,1.7315700785132915e-05,-1.789223312258326e-06,7.3173298947092394e-05,0.00010343690220536885,9.1322117267843999e-05,-0.00010974419197985603,0.00058585874484183434,-0.00087748123742572594,0.0001076053045852717,8.7002682253553503e-05,3.6166603303347979e-05,,8.3168069358852633e-05,-0.0032181193446772041,7.8746040384729341e-05,0.00010737784856387318,0.00010431905254622532,,,,5.1192894256779664e-05,0.00010577358452034919,0.00014447712651724374,7.1345046865857456e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.197032059019
Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0097408185920686667,-0.0068845623348794543,0.016924150771868374,-0.0055925493817135345,0.18487428468034342,,,,,,,,,,,,,,,,,,,,,,,,28.3953148048
Consumer Complaint,-0.0044497977637760547,0.0067023723357816463,0.0033734962647202125,-0.0046954857042932219,0.0012908131477769396,0.0010253032930145826,0.0031296462300710089,0.0015018057115393771,0.006920165011219408,0.0026204168831581928,0.0059713964418590332,0.0023010300905338503,0.010917467191234379,0.0020152835676005912,-0.045040936461141282,0.0011692804981850609,0.0055626474748085158,0.00035032384396562182,,0.0029645082496768515,-0.33262288954527869,0.01559930784770382,-0.011654748331035979,0.0066402865630993176,,,,0.0031094809899222873,0.0051192546642524631,0.010203964117009457,0.013387711457628316,0.0046363081576089064,0.013123374144290264,-0.045768561393362828,-0.0063144087997369135,-0.0050964862835488605,0.015797104018177598,0.0044919163252351317,0.056265987747737584,0.00051304655697336746,0.00094024978926864934,-0.0038104842697992145,0.10948533055352921,-0.24213565107417112,0.30079540876089778,-0.014939439057149137,-0.0051109736952682913,0.004571005174607165,-0.019038323350915633,0.039113275007539902,-0.74133968803007777,-0.014939439057149137,0.022415978052146745,-0.022227296326064214,0.0015559132865893902,0.024215644303227538,-0.0025907049366571417,0.00083731370667893424,-0.00076353804173692101,0.001730088632138396,1.3316660752997218e-05,0.001895755493233179,56.0138834673
Curb Condition,,,,,,,,,,,,0.00074439355868192124,0.00037989900440875087,-0.00013687347443897587,-0.0011534071812850978,,,,,,,,,,,,,-0.0006255032300646877,0.0011314785229046688,-0.00033672596505850735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.867732784449
DOOR/WINDOW,0.013963769759459656,0.011319477367417927,-0.00096271266305084395,-0.014905763665742332,0.0017503704587631705,0.0069159570537008982,-0.002075590655911412,0.0081878936764540351,-0.0047643316978520584,,,,,,,-0.017584087374057873,0.015260345152513569,-0.014714578724953711,,0.018560564748866075,-1.8438886853667964,0.045517273065475566,-0.0012846692201273113,-0.0078607940818174824,,,,0.025646440303252784,0.018994125537840089,-0.012940515357413647,-0.022892548806918694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11562953241
Damaged Tree,0.0010342198601961635,-0.012926232874730978,0.013087709919377974,-0.0043221534876670201,,,,,,0.011455744080180023,-0.0068493827584795112,,,,,0.01789341524451623,-0.0034993537814620376,0.02244853670381692,,-0.00078931949517845718,0.23123788688011929,,,,-0.020496251546154524,0.026097185554239646,0.011487356450022987,,,,0.00071772347807318821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8276458344
Dead Tree,-0.0011643473864006142,-0.0063704668314977491,0.005915640592449924,0.0023398457870335717,,,,,,,,,,,,0.010495245349432679,-0.0017347503681518896,0.012032680616683014,,-0.0010320131499220713,0.23897621491169041,,,,-0.0048569427675905809,0.012440091982305446,0.0085886807417167848,,,,0.0024999908665755801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.01652042834
Derelict Vehicle,,,,,,,,,,,,,,,,0.011406795983624773,-0.0035497903328581028,0.016084660045009129,,-0.0015703905034510806,0.36123224391570674,,,,,,,,,,-0.0016013787644716584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.167024033
Derelict Vehicles,0.0053781635929752679,-0.0056819575184297085,0.0077393230957970641,-0.010559670994980612,,,,,,0.010473461203505738,-0.005784912139937275,0.010619109667598072,-0.0027720771372438564,0.0064559063334254678,-0.023147176920952049,,,0.008370001354633793,,0.0038257191309340119,-0.62802234199297935,,,,,,,,,,-0.0059946298501965265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40230290315
Dirty Conditions,0.0019267710831538136,0.0006625177446428457,0.0094524496454451053,-0.0094895838448516671,0.002713463567301266,0.0041219738633081751,0.0025478428707561979,0.0022069647537904203,0.009258873649223235,0.01377302172169826,0.00047710834941968195,0.014713687253186352,0.0051530154145657259,0.0047770157851938369,-0.020493585104331032,0.0094268697228805202,0.0056691576847860969,0.010300639974234665,,0.0073256171520976934,0.25904955333181612,-0.0050822680815447701,0.041648728378307284,-0.0021271436314554059,,,,0.00067551555389791344,0.014008076109078737,0.00080989617182899987,-0.0025544759827331089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2267834571
Drinking,-0.00026807600490025806,0.00046435254982586541,0.00040518169095710713,-0.00081805328864172446,5.1699595853392296e-05,2.1727440147286094e-06,0.00012945545480361155,0.00024112237773867375,0.0010548057034024669,0.0003840268197734428,0.00020727002339917134,0.0003162525589163089,0.0013707353853411005,-0.0020668356669018557,0.0015104916951464336,-0.00014622669583686976,0.0004190834405599254,-1.3858888806503008e-05,,0.00035338632279029305,-0.0016812990105973535,0.00074181966976184202,0.00047979262306927536,1.2283342232055931e-05,,,,0.00022817419817626505,0.0006554403212100234,0.00018165091433763365,0.00022335649912614229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.869011104883
EAP Inspection - F59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00053104633524301886,-0.0018593629069808128,-0.00068106312352549407,-9.0878055341201802e-05,0.018850424267668239,-0.00096123595938063576,0.0021503931964726745,-0.0025619563188622979,0.0052435988368915512,-0.00073817228791776129,-0.016213661262178082,-0.002118677784263308,,,0.001275190262950681,-0.004041627778140898,0.0034509705995023586,-0.002118677784263308,0.0033052498966517647,-0.0052126885371549395,0.0013342337665360774,,,,5.6671697768529913e-05,-0.0004161499464851731,0.0023044461075763275,0.0090622131038227902,-0.660477016838
ELECTRIC,0.015086275282538628,0.0081191839819063395,0.0013724467946303895,-0.015621522760110163,0.0017741688970590273,0.0079367704953006608,-0.0011125145024318268,0.0069817542382826329,-0.0023928196894307048,0.018497847312810369,-0.00074027390131407725,0.022754677462646769,-0.0030309198431518001,-0.0048442622960631759,0.047065403848934935,-0.012102000856007426,0.013766518072745124,-0.0091446562135111681,,0.018127110826115803,-1.739705925987491,0.033104736959303001,0.019352112905094365,-0.010317905284872732,,,,0.022752457539376148,0.019162108941687406,-0.013394391494089573,-0.023534507569962365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15887887041
ELEVATOR,,,,,,,,,,,,,,,,,,,,,,0.00083700756761452002,0.00037410002789099381,-0.00016690144327630347,,,,0.00025510785680216478,0.00070740693780280356,-0.00025345384601642001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.731833329893
Electrical,-0.00016673672878237327,0.0012365208346944881,0.0010301281392072763,-0.0019964793996909386,,,,,,0.0014833876444759163,0.00068588170744973351,,,,,0.00069499909382847599,0.0011682568687360355,0.00073236412697228208,,0.00089910718270640134,0.08633170826035394,0.00081230801214290547,0.0031526909713712123,0.00035225634892908485,,,,0.00096760843339035616,0.0015005425106349439,0.0011059310208199357,0.00095842142734857145,,,,,,,,,,,,,,,,,,-0.0038324121067178393,0.0073932078863531217,0.0025759710178978878,,,,,,,,,,,-0.0055131558579478877,7.76387610312
Elevator,,,,,,,,,,0.0034846917985491216,0.0028619656512403266,,,,,-0.0027923294331076965,0.004928241135558729,-0.0034706914700059805,,0.0053052887750488411,-0.69840293044610835,0.01354378027404619,-0.0039966583400011602,0.0011806136524270452,,,,0.005921683130266653,0.0057174083290602905,0.00098021804411141996,-0.001834833977392804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.49301544159
FLOORING/STAIRS,0.010292978534691187,0.0093954358313129028,-0.00090882573219130394,-0.011941768323448721,0.001316172229412023,0.0049754101103667179,-0.0020184527733791754,0.0067437960327392417,-0.0033498505461202334,,,,,,,-0.014256530556939132,0.011818712755838384,-0.011762910612860035,,0.014275097605145615,-1.4776201641765825,0.036992651577139081,-0.00515000167054336,-0.0054269275390718026,,,,0.019901310134834135,0.014359456582649545,-0.0096814308298191522,-0.017035972505767445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.952870461129
Fire Alarm - Modification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00019762679830043548,3.9236892763645679e-05,0.00031196220039923436,,0.185541024211
Fire Alarm - Reinspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00052639994320507577,0.00062739085335377406,-0.0028589230668062547,-0.00014781433426834227,-0.00010995654001411669,0.00041984944040518056,0.00032377017012200695,-0.0004325206230379893,-1.3033079332552059e-05,9.0199986329720814e-05,-0.0001776686604957813,0.0053483979403325856,-0.01205444013476383,0.01588935930348459,0.001747889508675423,-0.00030629158743350016,0.00025180968933513132,-0.00060802463673207221,0.0010732332242338546,0.012641112810271596,0.001747889508675423,-0.00057257575380493999,0.00017191097391816947,-5.8451540937442802e-05,0.0026756796024891096,-0.00032932768517710453,3.4474437068136534e-05,0.000736346411505807,-0.00034998505503265468,6.1890915373674516e-05,-0.00088154239742053715,0.651311071837
Fire Safety Director - F58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018124117905977101,-0.020143593164141868,0.029742304434676479,0.0007037244771638878,-0.007184753327062603,0.00026730932704886485,0.001810101084058514,0.058450179682077455,-0.0030672999979429873,0.0070539386262401613,-0.0083563484427021453,0.018853603656035445,-0.0045132613531946031,-0.058213403178862255,-0.010290695553103205,-0.0014004791970034861,0.0028849049997021975,0.0016037801584299132,-0.0074103771936700202,-0.10833817483995464,-0.010290695553103205,0.015472844361970692,-0.02169812863179563,0.0046457748850257117,0.0027070851806840256,-0.0027263480724722807,0.0044342359287666139,0.000947674740945279,-0.0015890272539630847,0.007396091880902041,0.028980556023742818,-3.7224006962
Food Establishment,-0.0049416812743331567,0.0052670551883335619,0.00048421451269518303,0.0020243484852208284,0.0014410015602753293,0.00043398135729629775,0.00116622221168721,0.00036368437023266627,0.0023899663783911282,-0.00096614336456061361,0.0061780598979777248,-0.001055123098524482,0.008523663117956555,0.00012055965095591863,-0.021518405560363753,0.0023884956223080029,0.003246939803388988,0.00030198603715042761,,0.00061999403478606348,0.15209909344355721,0.0076389119682312686,-0.0094869212470869765,0.0066507751099352495,0.0065218511833904725,-0.0032958327287992721,0.0084389230641593663,0.0016614844033165503,0.0015770008387782915,0.0094741443788606376,0.010812543805454846,0.0080531384203340883,0.0037476243306856592,-0.026482750890669364,-0.0023170578742710349,-0.0016779281247566204,0.0079935623551255757,0.0020300706542379391,0.0092672399352470951,-0.00041423800099756861,0.0014333234259712737,-0.0040509546988069444,0.083307940809936726,-0.18339574576455389,0.22525675945596679,0.01220291552327255,-0.0039375398298386417,0.0031747778339172011,-0.0096800674353534691,0.016463043297747375,0.11975046409159737,0.01220291552327255,-0.0054421692348676836,0.0040323800197620595,-0.00076271866759645491,0.017783071161273631,-0.0030331060671171793,0.0013189015620324583,0.0038151831444412586,-0.0015003910718503653,0.00045622590714904055,-0.010727127236536953,25.1839701466
Food Poisoning,-0.0021117212228023122,0.0020824156548737826,0.00019790024674879738,0.00078425545583665714,,,,,,-0.00076684441118223456,0.0027160347371272941,-0.00064058774926796611,0.0026994544716165956,0.0014252396196112091,-0.009233969892635939,0.00093277970507022715,0.0012613242168366004,-4.7036296234181447e-05,,0.00010764216300340653,0.017134631409732551,0.0034726264218505349,-0.0052667939819238882,0.0030239645391920921,,,,0.00069770843217285936,0.00028978984253631609,0.0042102942568786328,0.0049805288213032118,0.0049186507197648407,0.00031875608813107222,-0.010412726866942638,-0.00082435026402206632,-0.0011596936399454155,0.0012313060399495996,0.0012474037894376299,0.01138756802168011,-0.00045395168289507585,0.0010599671593652716,-0.0019195343925208859,0.031107918285772775,-0.067330492095378516,0.083145197437305196,0.006847736157691023,-0.001951443779329462,0.0015662556451669675,-0.004024488274763747,0.0062390230184287878,0.053586618554768255,0.006847736157691023,-0.002223987147333214,0.0004113865477086134,-6.1311070380754701e-05,0.011207457522160817,-0.0017682434343451192,0.00059435663456622973,0.002397996459965314,-0.0012013063164696511,0.00066205377368211144,-0.002925030644956497,8.67694995407
For Hire Vehicle Complaint,-0.0006507437673038143,0.0014369053404135745,-7.3540550795492011e-05,4.3124349740293654e-05,0.00033264295107938248,0.0001728364301154773,0.00019051475867012306,0.00020816606160626886,0.00065795787408673119,-1.0176553513198633e-05,0.0013796360266946791,,,,,0.00013006950319971694,0.00096247909165702965,-0.00033673418688391057,,0.0003730457651380275,-0.034625376743077127,0.0028521159238088824,-0.0032758411119067029,0.0015793190556624747,,,,0.00067550730938877122,0.00049714094891714839,0.0022701996408313343,0.0025326382755562638,0.0022918574833949192,-0.00027613447058864177,-0.0033224438672041761,-0.00023930372229065977,-0.00053766419068566104,0.00022348561101042481,0.00075128931545550073,0.004290602967040218,-0.00018251938051724539,0.00054286049173289468,-0.00044357337034068943,0.011187054222201009,-0.025592625081493663,0.03991438074119389,0.00029155327154487,-0.0010127576709730796,0.00086511541826669272,-0.0031660137852604457,0.005869466672428522,-0.11261465147887169,0.00029155327154487,0.0021183480866649651,-0.0030903586574814817,0.0003401741058746291,0.0047819358993983416,-0.00076883221546288419,0.00035823216077971246,0.00038515582491432119,-0.00015130052585274226,0.0004059672371242989,0.0013843372220298266,8.8686734913
Found Property,-0.00059544093622059739,0.00073962859133048077,-0.00029373112684641183,0.00060289257353383159,,,,,,-0.00046567268647507577,0.00080742368510686158,-0.00043434400755814923,0.00071147733441349209,0.00023114896079576828,-0.0016091471957464553,,,-0.00013963470518411807,,-0.00011586673799862153,0.021562027241157154,0.0008457755754148128,-0.0020607653793810908,0.00099339850368123576,,,,5.7841949650508828e-06,-0.00011152877702031538,0.0013573230800487663,0.0015315597108553748,0.0016656660131910334,-0.0011081529736963846,0.0001329607484836634,-4.6837314793840841e-05,-0.00040163258563504672,-0.00021075749553868227,0.00048539540894215386,0.0018177743806089895,-0.00018794415983363052,0.00038367505471082245,-0.00029056299546580903,0.0061908224241720763,-0.014816989117310213,0.026073698673171289,0.0017866981676190096,-0.00045469876112494342,0.00037854077084222102,-0.00095542657514059248,0.0013766439007577042,7.1980970469624934e-05,0.0017866981676190096,-0.00076340759092319147,0.00021291357995880875,3.7925776923432639e-05,0.0022088534948200397,-0.00041904069315008082,0.00021028168699529606,0.00045727938405498432,-0.00027547865098765024,0.00029865784992307677,0.00012647424857560889,0.518897512363
GENERAL,0.0079037758697489031,0.012247588812986831,8.2587713707457135e-05,-0.010919956846656564,0.0021157944422922439,0.0058856187515830783,-0.0015763349217436649,0.0076536608309508668,-0.0022748882068881803,0.012737669446923262,0.0043738963126947203,,,,,-0.014285372622574321,0.01477055712863311,-0.012900968834010393,,0.016727006512635281,-1.4170032478450052,0.040546463531528854,-0.0025684043870151689,-0.0037491149879729626,,,,0.023501512990476855,0.01673509355228462,-0.0065559615047446973,-0.016452959684083786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.64222585399
GENERAL CONSTRUCTION,0.009504052251030775,0.0052030500560036868,-0.00080140441134857253,-0.0090006528433636528,0.00085645975007250861,0.0043555645740039131,-0.00083903792667272309,0.0040030385379961585,-0.0060937398867935491,,,,,,,-0.0096328826864680462,0.0079189015837805941,,,,,0.025165039515875572,-0.0012891565027561946,-0.0048949193338976571,,,,0.012620860730579282,0.011054526788692093,-0.0082065210646461995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70319450226
General Construction/Plumbing,-0.0045225367015049693,0.0080468842958765791,0.0082706856003268835,-0.01183722958215562,,,,,,0.0070371934407933191,0.0079564163147073583,0.0054307787778452516,0.018272470132907746,-0.0027534804600538067,-0.036174251223200074,0.0089416027149992819,0.0073362568195575115,0.0062504316397578212,,0.0039051105207119647,0.9511098622793912,0.0078482889794803321,0.0057249835445671235,0.009530008634477713,0.00094373879020665311,-0.00079530317012188427,0.021289020651937725,0.0032400574026033267,0.0078513240532581841,0.015579700084373146,0.015120238949159951,,,,,,,,,,,,,,,,,,-0.022452240425876718,0.041088265840056704,0.51562987469050503,,,,,,,,,,,-0.044999478330900317,54.3422855751
Graffiti,0.0025000081754074548,0.0074908970697363953,0.00054125524087360192,-0.0094643747186175207,,,,,,,,,,,,-0.0037995678733344206,0.0056212147849263134,,,,,0.013238529585641388,0.0036233047648686458,-0.0012697044213884903,,,,0.0052547585916924485,0.0084067329466709258,-0.00058468730211357219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3326808606
HEAT/HOT WATER,0.039059319347105124,0.049664803699357433,0.0032336518591742826,-0.043674970782249516,0.010846915445009101,0.024663274403242456,-0.0067590453203247849,0.039085547605991817,-0.021213195921975611,0.063988957939952087,0.018767492360402625,,,,,-0.068980334070278232,0.071044911951773898,-0.060448350965965666,,0.079427548951222324,-7.3960268703319016,0.19119713321140575,-0.0021879988463691033,-0.020221576695125282,,,,0.095873227163941047,0.096296181193365415,-0.037560820502657091,-0.075395861353013738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.39246143183
HEATING,0.034247601525130233,0.032941880618432083,0.0033599777400914656,-0.036539359532952162,0.0066391197758848188,0.020082703560828044,-0.0047889351276262267,0.029443540293769884,-0.024166560068537866,,,,,,,-0.057478790622588205,0.052841119632391464,-0.049534676488047769,,0.062713105699362726,-6.4139275453729212,0.13271689284575616,0.03134382540549413,-0.027637596968691024,,,,0.07424711168887628,0.07462975840928307,-0.040022465753116743,-0.070094907323507399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4562099916
Hazardous Materials,,,,,0.00050640419176197491,0.00015756122923523932,1.4809540859146539e-05,0.00013665078517256522,0.00088073421326580789,0.00016319283944622007,0.0013684891552544079,0.000114356488688599,0.00051617518576399664,0.0039901342239880297,-0.010723833925517366,0.0011782452765892893,0.00075073290389777634,0.00035841299765856254,,0.00035896089562813109,0.087767930129297039,0.00090562596813136063,-0.00059964666045300577,0.0015756527115961881,,,,0.00035731494331106171,0.00047530897731160916,0.0022746160492128206,0.0017345291785970606,0.0010753429751701586,0.0023629840255388048,-0.0091414284887129382,,,,,,,,-0.00017816170644879446,0.014630596950020945,-0.034039484301640749,0.046124759530851635,,-0.001011457942003579,0.00076606626513886955,-0.0033235111173894809,0.0063467149074807041,-0.023934731513905079,,,,,0.0020794767306373269,-0.0003296471768776799,0.00017500806311652529,,,,-0.0033736659946585323,8.67291930919
