,age_residents,race_residents,typeof_household_residents,education_residents,ownorrent_residents,transportationtype_residents,income_residents,housing_values_residents,rent_residents,age_workers,race_workers,typeof_household_workers,education_workers,ownorrent_workers,transportationtype_workers,income_workers,housing_values_workers,rent_workers
Found Property,1.4960649028085381e-08,3.5030760500132385e-08,1.8730083757196288e-08,1.8798962572646371e-08,9.0019841230346309e-09,6.0004216743538461e-07,2.9184206601692307e-08,8.3573845999867812e-08,2.7302069878758041e-08,7.3199598144264049e-08,1.1357997972421306e-07,8.8568188622447898e-09,2.8615319788259569e-07,6.9988230991200537e-09,3.2876258759680311e-08,1.9729414326736544e-08,2.6409871782190102e-08,7.2145131978303796e-09
General Construction/Plumbing,1.8744322440411842e-07,5.3657276706356312e-07,1.5300244853128714e-07,4.139431724328686e-07,2.3811414279049598e-07,2.3411757960413654e-05,2.148236081295255e-07,7.2316811090941085e-07,3.3268684162847661e-07,1.7450314778597736e-06,3.9756759555087898e-06,2.0601119527825426e-07,1.4020431681934024e-05,5.7843418655522105e-08,1.2131137658037726e-06,6.1641539399483975e-07,2.0793438369153263e-07,2.7723587294961655e-07
Graffiti,1.6408111086660399e-07,5.9117660331940696e-08,1.3225906205205619e-07,3.0398387692942303e-07,1.2419258291312809e-07,2.0856483037426625e-05,2.7897704440392995e-07,8.6549145560320227e-07,1.5903184343700524e-07,,5.838992091951706e-07,1.6096113611917735e-07,1.1757040539582915e-05,,1.382038805983618e-06,5.2304695467007122e-07,1.6291847404530675e-06,2.4722231773341692e-07
Homeless Encampment,9.2406616405034716e-08,,8.5331441223828347e-08,1.206842812051291e-07,,1.7705006648254316e-06,1.1122392160949192e-07,,1.3736616473209645e-07,1.2989425454400308e-07,2.4240841471265845e-07,2.1129023376308797e-08,3.9891939404105597e-06,4.5671299811424647e-08,2.0952331969247983e-07,6.3720276245866374e-08,3.2202981917230144e-07,6.7747433425658792e-08
Homeless Person Assistance,,,,,,,,,,8.754129103040835e-08,1.7720966643872473e-07,1.6914888932938394e-08,1.500589779909995e-06,2.5099757499719321e-08,1.197293591102834e-07,2.5988379383195206e-08,1.8965123762458504e-07,2.7335428107409128e-08
Illegal Animal Kept as Pet,2.5984684564333558e-09,1.1640221590904045e-09,4.3812326041001517e-09,3.4598567428927367e-09,4.8102280502738816e-09,1.9480266644557201e-08,6.5448718700986887e-09,8.1957707556486559e-09,3.6443871675417384e-09,,,,,,,,,
Illegal Tree Damage,1.5723088161515756e-08,1.1037889997950945e-08,1.5665677071131004e-08,3.7481963224084713e-08,3.5683168273826366e-08,3.1066822131298535e-06,5.5007523525813829e-08,1.4245112235740148e-07,2.8091505830592854e-08,,,,1.3707744376926633e-06,,,,,
Indoor Air Quality,1.078557735573129e-07,,8.4806426045975951e-08,1.3505399532068934e-07,,2.0756146399098212e-07,,,1.0678892145795314e-07,,,,,,,,,
Investigations and Discipline (IAD),4.5985750109048764e-09,4.2447781899608114e-09,2.9952177953440047e-09,6.0394638064942241e-09,4.0323476831295705e-09,3.9642561763501631e-07,4.7942597428956483e-09,6.272571916728038e-08,3.638234898849494e-09,1.9766837745299882e-08,4.2542386432261034e-09,4.8472758019727916e-09,1.253744881053562e-07,,2.0477697331481142e-08,9.2454749017253253e-09,4.6754606878439805e-09,7.8353278068667263e-09
Lead,1.5372140998734535e-08,9.0894858767661648e-09,1.8595928865899127e-08,8.2175521905323019e-08,2.0057806735206256e-08,1.6320310682493435e-06,2.475604526241555e-08,5.6412989601980932e-08,3.4128177065098909e-08,1.1842293144227057e-07,2.8317069900520782e-08,1.9406616013525663e-08,1.0648210073161157e-06,,1.5610592472664259e-07,9.973211313008275e-08,2.5579482087833361e-08,2.7735250765301643e-08
Missed Collection (All Materials),2.1500212399439284e-07,8.9424153610075897e-08,2.8359432415431625e-07,6.4070451332086331e-07,5.371065224544938e-07,1.9079510223185545e-05,8.0134211432353455e-07,7.4177767651090121e-07,,,,,,,,,,
Mold,8.6088515636037174e-09,2.3663350030302508e-09,,1.4220158956068979e-08,1.0486911827682865e-08,3.051391715819902e-07,,2.6539500607959795e-08,,2.3918494783148983e-08,3.9183837698619464e-09,4.4093678374831747e-09,7.9637567736092522e-09,6.9090208304375525e-09,1.3028357610294989e-07,8.9248603021298501e-09,9.9298333694116932e-09,6.6728283780714514e-09
New Tree Request,1.0662458990841574e-07,6.9469828869548523e-08,1.6912351590431468e-07,5.1039733501460792e-07,2.6422944638162866e-07,1.4045906662802485e-05,5.3614158446871469e-07,4.0331072429299363e-07,2.5952672480145815e-07,,,,,,,,,
Noise,1.2395383097979833e-06,2.8347947355129001e-07,1.1657674267110913e-06,1.6374241469879294e-06,3.6031973480925737e-07,4.8052564759259046e-05,1.4742538156513851e-06,1.9974718607413325e-06,2.0867243043068317e-06,2.630520198782391e-06,5.7758864338443212e-07,2.7925096645103565e-07,3.0687141654751567e-05,3.1869583812163833e-07,2.2609472657307207e-05,2.1835641288605813e-06,2.6632877668160064e-06,8.2382648717847503e-07
Noise - Commercial,9.2149390475313172e-07,2.1858890185452849e-07,6.3746582754496179e-07,1.336084806727345e-06,3.7716717024702915e-07,3.5755513062218923e-05,8.2750661146855498e-07,,7.7081224523453617e-07,,8.277118366332289e-07,,3.6474257965104305e-05,,2.9728177796837139e-06,,,
Non-Emergency Police Matter,,,,,,3.3546506230106874e-06,,,,,,,,,,,,
Other Enforcement,2.9603592588970497e-08,4.7940962118936945e-08,3.2322297910307898e-08,9.3372735916391952e-08,6.5724971373704652e-08,4.5816737566412723e-06,5.3060737639350157e-08,1.1023408462319731e-07,7.4995924665759976e-08,3.1138744052862835e-07,1.2544222582261366e-07,4.809676603419854e-08,2.5097684668926214e-06,1.0464961794566063e-08,2.436170963244473e-07,1.610938774888363e-07,5.4094816333290858e-08,6.9581107870951553e-08
Overflowing Litter Baskets,6.3028648902248049e-09,4.4914274513639589e-09,6.6320238040970268e-09,1.2867872466695783e-08,1.5539742148016009e-08,1.0422416888261442e-06,1.106908859002397e-08,2.2227998567066064e-08,,,,,6.4226484136352401e-07,,,,,
Overgrown Tree/Branches,2.2756786230885682e-07,9.4207802977550522e-08,2.5695778193984541e-07,4.7250586371818782e-07,4.3034997746980794e-07,6.0251414373289855e-06,1.0886957336224853e-06,6.0015007724952463e-07,2.6327677869163117e-07,,,,,,,,,
Plumbing,2.6208728903365551e-08,8.0179622903034053e-08,3.5588468291510046e-08,3.6057786462899094e-08,3.8686734903290251e-08,2.3771401757168349e-06,8.4775755459033679e-08,1.0239671991793789e-07,3.9683436768132879e-08,,7.1611432882194595e-07,,2.1842486467869718e-06,,,,,
Recycling Enforcement,6.5917676214344218e-09,3.0791990426150245e-09,5.1156624196107393e-09,9.7770125504492917e-09,7.6093274953367998e-09,8.2410708437506656e-07,6.8775937953796206e-09,9.5890361818892401e-08,8.353469131994247e-09,5.4023855254664901e-08,1.2774897639074451e-08,8.602921141985518e-09,4.4101306150872856e-07,,4.692708292583593e-08,2.6208693717932028e-08,7.5951535991390428e-09,1.0666500709736138e-08
Request Xmas Tree Collection,9.7660219637018721e-09,2.9282219829442437e-09,1.1348913067031714e-08,2.5230011265360628e-08,1.9773548836581537e-08,1.9722865077502964e-07,3.9693352940172018e-08,2.7400639750099356e-08,,,,,,,,,,
Root/Sewer/Sidewalk Condition,1.3617235463133585e-07,4.0199602721831831e-08,1.5406367444951036e-07,2.7561025973154848e-07,2.8125779702275487e-07,4.729474831524421e-06,6.0682497943454499e-07,3.7818904146334956e-07,,,,,,,,,,
Scaffold Safety,4.220668843761009e-09,1.3954992570618263e-09,3.7326601183817178e-09,3.6994118387428349e-09,2.2457281608377378e-09,1.9928249367286292e-07,9.2388054346818716e-09,5.0413906997226911e-08,7.0648694579734516e-09,1.5135290955285074e-08,4.2103241883665055e-09,1.5371795515200857e-09,2.3274365194054831e-07,2.3593549682191572e-09,2.2688592441921766e-08,4.1252693754972852e-09,3.5954861390599647e-08,8.5650367269591672e-09
Sidewalk Condition,6.3664190536856451e-08,2.2986420661011638e-08,5.7706131738644758e-08,1.5097180039158651e-07,4.3337971794315061e-08,4.6806442993323855e-06,8.5615512766748432e-08,1.2651475125812875e-07,1.1681467729334244e-07,2.4683586675958314e-07,9.0168058059174584e-08,3.6063263359652239e-08,2.1810454509584219e-06,1.1267221430961058e-08,2.0801501727438127e-07,9.9402449147116461e-08,2.9652408074347289e-08,3.8220252142860387e-08
Snow,1.3301464534913548e-07,,1.84583208592936e-07,4.3213426852937983e-07,2.8494109732958011e-07,8.2012795857796698e-06,,4.296971643549035e-07,,,,,,,,,,
Special Projects Inspection Team (SPIT),,,,,,,,,,,4.105769020093008e-06,,,,,,,
Standing Water,,,,,,1.4761330939168664e-06,,8.8834275512116284e-08,,,,,,,,,,
Sweeping/Missed,5.8429932711752745e-09,5.6617676993584868e-09,1.8069347404317968e-08,4.9800509323006276e-08,1.8607249677551004e-08,5.7582484559062472e-08,7.6798804336937784e-08,4.2587013345152132e-08,2.8256884013511428e-08,,,,,,,,,
Taxi Complaint,,,,,,9.6227401983085408e-06,,,9.8455297959995139e-07,1.2361905793240603e-06,2.4280586222719706e-06,2.9748469958597833e-07,7.18564983736476e-06,2.0259045747134195e-07,9.887973290703155e-07,3.5646277151918508e-07,7.6562051311601578e-07,2.6445502235834223e-07
Unleashed Dog,6.3015295502005455e-09,1.8348215104473362e-09,7.759231271412032e-09,1.2685248026418574e-08,1.0325757894387781e-08,3.8224332383655658e-07,1.5803522831582951e-08,3.1509940000797604e-08,6.3294878958178575e-09,,,,,,,,,
Unsanitary Animal Pvt Property,1.846111862040508e-08,8.2151449539711288e-09,2.6765437188379494e-08,3.7988983954287477e-08,2.8209872827126543e-08,1.3794416376356218e-07,6.41493793135827e-08,6.6370491442029913e-08,2.2815252169899593e-08,,,,,,,,,
Unsanitary Pigeon Condition,1.0256945076733667e-08,3.7999061913538955e-09,5.263991846081652e-09,4.5710022848273726e-09,7.9120359894920367e-09,7.2094749916083249e-07,9.2201601889438764e-09,6.2031109359999266e-08,6.7675519998784922e-09,,1.4071931292533078e-08,,4.5399493729913399e-07,,4.4397861564003277e-08,8.806381949975358e-09,,5.5604571938599119e-09
Water Conservation,5.6414665477344618e-08,1.2235294144485708e-08,6.4097829943603264e-08,1.0947031034264592e-07,9.2696019666387952e-08,1.1790341581205367e-06,,1.7317123243642237e-07,,,,,,,,,,
Water Quality,1.8697159447173548e-08,4.7781845554104924e-09,9.0186667172604511e-09,2.1824888663704431e-08,1.7661805802190166e-08,5.3832996719156049e-07,1.6950063785324274e-08,2.5273910625398898e-08,1.2257731642549468e-08,,1.5265775365710207e-08,9.6366404502478242e-09,6.8328203031788333e-07,,3.9669295040755871e-08,3.1147618674605361e-08,1.2064969528285009e-08,1.1007402399685977e-08
