,age_residents,race_residents,typeof_household_residents,education_residents,ownorrent_residents,transportationtype_residents,income_residents,housing_values_residents,rent_residents,age_workers,race_workers,typeof_household_workers,education_workers,ownorrent_workers,transportationtype_workers,income_workers,housing_values_workers,rent_workers
General Construction/Plumbing,population between 18 and 34,population other race,family households,population education bachelors,owner  occupied units,tranportation motorcycle,household income 75 and above,house value for 20 to 100,rent 2000 or more,population between 35 to 64_n,population other _n,family households_n,population education phd_n,renter occupied units_n,transportation public_n,household income form 40 to 75_n,house value for 100 to 500_n,rent bewteen 1000 and 2000_n
Graffiti,population between 18 and 34,population hispanic,family households,population education bachelors,renter occupied units,tranportation motorcycle,household income form 10 to 40,house value for 20 to 100,rent bewteen 1000 and 2000,,Population asian_n,family households_n,population education phd_n,,transportation public_n,household income form 10 to 40_n,house value for 20 to 100_n,rent bewteen 300 and 1000_n
Homeless Encampment,population between 18 and 34,,nonfamily households,population education bachelors,,tranportation motorcycle,household income form 10 to 40,,rent 2000 or more,population between 18 and 34_n,population other _n,nonfamily households_n,population education phd_n,renter occupied units_n,transportation public_n,household income form 10 to 40_n,house value for 20 to 100_n,rent bewteen 300 and 1000_n
Homeless Person Assistance,,,,,,,,,,population between 18 and 34_n,population other _n,nonfamily households_n,population education phd_n,renter occupied units_n,transportation public_n,household income form 10 to 40_n,house value for 20 to 100_n,rent bewteen 300 and 1000_n
Illegal Animal Kept as Pet,population 65 and over,population hispanic,family households,population education high school,owner  occupied units,number of cars,household income form 40 to 75,house value for 100 to 500,rent bewteen 1000 and 2000,,,,,,,,,
Illegal Tree Damage,population 65 and over,population other race,family households,population education masters,owner  occupied units,tranportation motorcycle,household income form 40 to 75,house value for 20 to 100,rent bewteen 1000 and 2000,,,,population education phd_n,,,,,
Indoor Air Quality,population between 18 and 34,,nonfamily households,population education bachelors,,number of cars,,,rent 2000 or more,,,,,,,,,
Investigations and Discipline (IAD),population 65 and over,population other race,family households,population education masters,owner  occupied units,tranportation motorcycle,household income form 10 to 40,house value for 20 to 100,rent bewteen 1000 and 2000,population between 35 to 64_n,population black_n,family households_n,population education phd_n,,transportation public_n,household income form 40 to 75_n,house value for 100 to 500_n,rent bewteen 1000 and 2000_n
Lead,population between 18 and 34,Population white,nonfamily households,population education masters,owner  occupied units,tranportation motorcycle,household income 75 and above,house value 500 or more,rent 2000 or more,population between 35 to 64_n,Population asian_n,family households_n,population education phd_n,,transportation public_n,household income form 40 to 75_n,house value for 20 to 100_n,rent bewteen 1000 and 2000_n
Missed Collection (All Materials),population between 35 to 64,Population white,family households,population education masters,owner  occupied units,tranportation motorcycle,household income form 40 to 75,house value for 100 to 500,,,,,,,,,,
Mold,population 65 and over,Population white,,population education masters,owner  occupied units,tranportation motorcycle,,house value for 20 to 100,,population between 35 to 64_n,population hispanic_n,family households_n,population education high school_n,owner  occupied units_n,tranportation motorcycle_n,household income form 40 to 75_n,house value for 100 to 500_n,rent bewteen 1000 and 2000_n
New Tree Request,population 65 and over,Population white,family households,population education masters,owner  occupied units,tranportation motorcycle,household income form 40 to 75,house value 500 or more,rent bewteen 1000 and 2000,,,,,,,,,
Noise,population between 18 and 34,population other race,nonfamily households,population education bachelors,renter occupied units,tranportation motorcycle,household income 75 and above,house value for 20 to 100,rent 2000 or more,population between 35 to 64_n,Population asian_n,family households_n,population education phd_n,renter occupied units_n,tranportation motorcycle_n,household income form 40 to 75_n,house value for 20 to 100_n,rent bewteen 300 and 1000_n
Noise - Commercial,population between 18 and 34,population other race,nonfamily households,population education bachelors,renter occupied units,tranportation motorcycle,household income form 10 to 40,,rent 2000 or more,,population hispanic_n,,population education phd_n,,transportation public_n,,,
Non-Emergency Police Matter,,,,,,tranportation motorcycle,,,,,,,,,,,,
Other Enforcement,population between 18 and 34,population other race,family households,population education masters,owner  occupied units,tranportation motorcycle,household income 75 and above,house value 500 or more,rent 2000 or more,population between 35 to 64_n,Population asian_n,family households_n,population education phd_n,owner  occupied units_n,transportation public_n,household income form 40 to 75_n,house value for 100 to 500_n,rent bewteen 1000 and 2000_n
Overflowing Litter Baskets,population between 35 to 64,population other race,family households,population education masters,owner  occupied units,tranportation motorcycle,household income form 40 to 75,house value for 100 to 500,,,,,population education phd_n,,,,,
Overgrown Tree/Branches,population between 35 to 64,population other race,family households,population education masters,owner  occupied units,tranportation motorcycle,household income form 40 to 75,house value for 100 to 500,rent bewteen 1000 and 2000,,,,,,,,,
Plumbing,population between 35 to 64,population other race,family households,population education bachelors,owner  occupied units,tranportation motorcycle,household income form 40 to 75,house value for 20 to 100,rent bewteen 1000 and 2000,,population other _n,,population education phd_n,,,,,
Recycling Enforcement,population between 18 and 34,Population white,family households,population education bachelors,owner  occupied units,tranportation motorcycle,household income form 10 to 40,house value for 20 to 100,rent 2000 or more,population between 35 to 64_n,population black_n,family households_n,population education phd_n,,transportation public_n,household income form 40 to 75_n,house value for 100 to 500_n,rent bewteen 1000 and 2000_n
Request Xmas Tree Collection,population between 35 to 64,Population white,family households,population education masters,owner  occupied units,tranportation motorcycle,household income form 40 to 75,house value for 100 to 500,,,,,,,,,,
Root/Sewer/Sidewalk Condition,population between 35 to 64,Population asian,family households,population education masters,owner  occupied units,tranportation motorcycle,household income form 40 to 75,house value for 100 to 500,,,,,,,,,,
Scaffold Safety,population between 18 and 34,Population white,nonfamily households,population education bachelors,owner  occupied units,tranportation motorcycle,household income form 10 to 40,house value for 20 to 100,rent 2000 or more,population between 35 to 64_n,population hispanic_n,family households_n,population education phd_n,renter occupied units_n,transportation public_n,household income form 10 to 40_n,house value for 20 to 100_n,rent bewteen 300 and 1000_n
Sidewalk Condition,population between 18 and 34,population other race,nonfamily households,population education masters,owner  occupied units,tranportation motorcycle,household income 75 and above,house value 500 or more,rent 2000 or more,population between 35 to 64_n,Population asian_n,family households_n,population education phd_n,renter occupied units_n,transportation public_n,household income form 40 to 75_n,house value for 100 to 500_n,rent bewteen 1000 and 2000_n
Snow,population between 35 to 64,,family households,population education masters,owner  occupied units,tranportation motorcycle,,house value for 100 to 500,,,,,,,,,,
Special Projects Inspection Team (SPIT),,,,,,,,,,,population other _n,,,,,,,
Standing Water,,,,,,tranportation motorcycle,,house value for 100 to 500,,,,,,,,,,
Sweeping/Missed,population between 35 to 64,population black,family households,population education masters,owner  occupied units,tranportation motorcycle,household income form 40 to 75,house value for 20 to 100,rent bewteen 1000 and 2000,,,,,,,,,
Taxi Complaint,,,,,,tranportation motorcycle,,,rent 2000 or more,population 65 and over_n,population other _n,nonfamily households_n,population education phd_n,renter occupied units_n,Transportation Other means_n,household income form 10 to 40_n,house value for 20 to 100_n,rent 2000 or more_n
Unleashed Dog,population between 35 to 64,Population white,family households,population education masters,owner  occupied units,tranportation motorcycle,household income form 40 to 75,house value for 20 to 100,rent bewteen 1000 and 2000,,,,,,,,,
Unsanitary Animal Pvt Property,population between 35 to 64,population other race,family households,population education masters,owner  occupied units,number of cars,household income form 40 to 75,house value for 100 to 500,rent bewteen 1000 and 2000,,,,,,,,,
Unsanitary Pigeon Condition,population 65 and over,population other race,family households,population education masters,owner  occupied units,tranportation motorcycle,household income form 40 to 75,house value for 20 to 100,rent bewteen 1000 and 2000,,population hispanic_n,,population education phd_n,,transportation public_n,household income form 40 to 75_n,,rent bewteen 1000 and 2000_n
Water Conservation,population between 35 to 64,Population white,family households,population education masters,owner  occupied units,tranportation motorcycle,,house value for 100 to 500,,,,,,,,,,
Water Quality,population 65 and over,Population white,family households,population education masters,owner  occupied units,tranportation motorcycle,household income form 40 to 75,house value for 100 to 500,rent bewteen 1000 and 2000,,Population asian_n,family households_n,population education phd_n,,transportation public_n,household income form 40 to 75_n,house value for 100 to 500_n,rent bewteen 1000 and 2000_n
