,Population under 18,population between 18 and 34,population between 35 to 64,population 65 and over,Population white,population black,Population asian,population hispanic,population other race,family households,nonfamily households,population education high school,population education bachelors,population education masters,population education phd,owner  occupied units,renter occupied units,transportation car,number of cars,transportation public,tranportation motorcycle,household income form 10 to 40,household income form 40 to 75,household income 75 and above,house value for 20 to 100,house value for 100 to 500,house value 500 or more,rent bewteen 300 and 1000,rent bewteen 1000 and 2000,rent 2000 or more,Transportation Other means,population between 18 and 34_n,population between 35 to 64_n,population 65 and over_n,Population white_n,population black_n,Population asian_n,population hispanic_n,population other _n,family households_n,nonfamily households_n,population education high school_n,population education bachelors_n,population education masters_n,population education phd_n,household income less than 10_n,owner  occupied units_n,renter occupied units_n,transportation car_n,transportation public_n,tranportation motorcycle_n,household income form 10 to 40_n,household income form 40 to 75_n,household income 75 and above_n,house value for 20 to 100_n,house value for 100 to 500_n,house value 500 or more_n,rent bewteen 300 and 1000_n,rent bewteen 1000 and 2000_n,rent 2000 or more_n,Transportation Other means_n
Bike Rack Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bike/Roller/Skate Chronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blocked Driveway,2.6475862391169706e-07,-4.6470197664876291e-07,9.6462569923277142e-07,-1.035395478446913e-06,6.970015565923738e-08,1.6385025134822047e-07,3.9259811923449796e-07,1.6794336657383498e-07,3.9654366087356172e-07,1.1473391150800261e-06,-5.3507837433840478e-07,9.3509688435176249e-07,3.9566480100006404e-07,-1.2957837392985668e-08,-3.4326470493880062e-06,9.1407567878105155e-07,2.0456677630487446e-07,3.5596123499011494e-06,-2.966047857869204e-06,2.8429028639873567e-07,1.2981834100028324e-05,-1.4389935403339969e-06,5.0043377297267903e-06,-7.6652669842873436e-07,1.6534534149707242e-06,2.0021562285853075e-06,5.278610253643702e-07,-4.6038659932649124e-07,1.581781417545837e-06,-5.6538938295498872e-07,-6.3946002217951615e-07,,,,,,,,,,,7.7017269789411168e-07,1.0918563363816131e-05,-2.7942340248307371e-05,3.9407375440652055e-05,,,,,,,,,,,,,-2.9137007737503792e-06,2.0582751453648181e-06,-1.2304041532378393e-06,
Boilers,5.3762566291843287e-09,1.7258504412755039e-08,-6.2250169773777037e-09,9.7427709492607906e-10,3.1153312305322292e-09,3.0076751463144366e-09,-3.0819814948570329e-09,8.1763105082723666e-09,1.2739393733005279e-09,1.0094925446178659e-08,8.8087660450281039e-09,1.4068191885357304e-08,1.1783829934819475e-08,-1.5449373773416471e-08,5.0494241417715068e-08,-6.1593631992343326e-09,1.6300056706232012e-08,-1.6203322446693515e-08,1.8783009904159843e-08,1.3997690111332943e-08,-1.9429765501365219e-06,4.643419006732049e-08,-2.5522005832708327e-08,4.6539034074870207e-09,1.0835672329779748e-07,1.3401244707674303e-08,1.7972054962036375e-08,2.2615757234312207e-08,1.2429080217860802e-08,3.6261739320048228e-09,7.5410795132704768e-09,,,,-8.4535879454096184e-09,-2.235837617865023e-09,-4.1666173196122561e-09,5.6040406422411626e-08,-3.0025211065227396e-07,,,2.7174284997492283e-08,2.0091310416217129e-07,-6.3723537140402645e-07,1.4472352790706371e-06,,,,-8.3270680805938531e-08,1.8343098326207243e-07,-3.5286501194507412e-06,8.0417258819526433e-08,-9.681722985895664e-08,1.3758014990429481e-09,2.89697609467156e-07,-2.1009942058057258e-08,-1.513537005642398e-08,4.6809586072546017e-08,-1.7707446536568549e-08,-1.2085645585450015e-08,-3.6376110047606213e-08
Bottled Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken Muni Meter,-5.0513309404258524e-07,4.4061466726752796e-07,-1.5894135434644196e-07,8.9043140701885059e-07,1.6398028200757314e-07,-2.5170295284938279e-09,9.8271683435686706e-08,-1.7330420954514955e-08,1.1881111072902381e-07,-1.8594629339431466e-07,6.8545544743302961e-07,-1.645715319258952e-07,1.6957220455365748e-08,1.6472453022371236e-06,-2.6975975867680714e-06,2.98618804108707e-07,1.6052938666503351e-07,-5.3614249300809798e-08,1.293252501483128e-07,-9.0923053249264809e-08,2.7811011549029188e-05,8.0975482509972181e-07,-1.8646279869964383e-06,9.8482558366304514e-07,3.4211966048515255e-07,-2.7785342092238726e-07,1.2466335629551606e-06,-2.770886898323804e-08,9.3017728593508812e-08,1.2517243299111312e-06,1.3690743644932048e-06,4.6882194925213499e-07,-6.5875437383172709e-07,1.3682386753727306e-06,-2.2398770994759763e-07,-3.6686982512870158e-07,9.9395409334636337e-07,7.1875176003412974e-07,-2.651724161485614e-06,3.3263923760359147e-08,8.96967224593716e-08,2.1832751851364064e-07,4.0961927246889522e-06,-1.1364837220342854e-05,2.4771988336351843e-05,,-3.5446018433079881e-07,3.3204132446699514e-07,-1.5645059643789596e-06,3.2071443816722474e-06,-5.1239391243638339e-05,7.9109296778566026e-07,-8.9897877367599229e-07,4.4852934986907346e-08,3.2127598864065012e-06,-3.5220467663319526e-07,4.5101232475639515e-08,2.8541674742677514e-07,-4.548863063938315e-08,1.6124153529757902e-08,-2.2762804475058282e-07
Broken Parking Meter,-8.2876262248904863e-10,1.8694416292462256e-09,-1.1579133021001123e-09,4.9215466634872853e-09,6.2811681067407585e-10,4.5361305214405756e-10,6.9455412570833246e-10,8.3319524603431643e-11,4.4384885090876833e-09,1.0913305283457607e-09,1.8054662931275027e-09,1.3613556368392663e-09,1.4602056236484739e-09,7.5888598541699442e-10,2.5495858090714267e-09,1.5602612534491055e-09,1.438252080312373e-09,1.0263058911268061e-09,2.18536158671221e-09,-3.2139334989131617e-10,2.0928486234591805e-07,4.8872258865429282e-11,3.1926516769856213e-09,1.6666805939425283e-09,5.5688828205072435e-08,1.1679986587487306e-09,2.7833924831640301e-09,-5.5358380103384139e-10,2.9131621213630065e-09,3.1191390555603905e-09,4.4858911275146407e-09,-1.7106639430493502e-09,-4.8156890520892598e-10,6.171205430812829e-09,-1.4099845617751792e-09,-9.0270245455361412e-10,3.6068509218483601e-09,4.9510560876583565e-09,-2.4512761619032049e-08,8.3967724050921026e-10,-8.0357711899036126e-10,3.1886184438288625e-09,2.4519677579922117e-08,-7.8646760210626408e-08,1.8970890405214474e-07,,-1.4308005229340275e-09,1.241041056860806e-09,-1.0725009596369287e-08,2.395489266789934e-08,-5.5404499593344001e-07,1.9807100522878793e-09,-7.7913777007751639e-10,-5.3159387684951166e-10,2.7900905233799006e-08,-1.9588404018864697e-09,-1.2990842553239757e-09,-1.738347735973766e-09,1.7596516694472953e-09,-1.2509245326652522e-09,-5.9155890395971487e-10
Building Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building/Use,5.5730797860414522e-08,-2.3448908585113258e-07,4.300530272997047e-07,-4.4864448949368093e-07,6.901086174020675e-09,4.0113883310927289e-08,1.2614782737241149e-07,2.6576151953325515e-08,7.5732544953712734e-07,4.0431074708108901e-07,-2.1190222086921694e-07,3.3520732169647302e-07,1.223988990272627e-07,-1.1498120150517951e-07,-5.8929137897170294e-07,4.4110401822174281e-07,6.0515982001154524e-09,1.0057253488154634e-06,-5.8146796869467535e-07,-1.0373940459629358e-08,8.9983092879390091e-06,-4.8499929726600594e-07,1.5352268610763978e-06,-1.8132162115195415e-07,-8.7722671324804811e-08,8.8135131128802279e-07,1.2705592580216452e-07,-8.9090851018028635e-08,4.3013872554249114e-07,-1.1775820285260857e-07,-1.8195238939265662e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Stop Shelter Placement,-5.7921649257074414e-10,9.9476890189716162e-10,8.8435432110169504e-10,1.2986790566509162e-09,9.2713318316278296e-10,6.3090151605167287e-10,-4.7639722311144282e-11,8.3310556266191198e-10,-5.8395817899913387e-10,2.0061172600822857e-09,1.3396333237875407e-09,1.533674044669808e-09,4.2794665672287788e-10,9.1879293751592202e-09,-3.2474743742667171e-08,2.6017567700566997e-09,1.3560580195265136e-09,-1.6684527581956734e-08,2.34425154566515e-08,7.2373297219517722e-10,-1.5674718018800342e-10,1.7200928604136945e-09,2.9404652600144639e-09,1.402313900164084e-09,1.3988857410478689e-08,4.6133324467311416e-09,4.0954529833551078e-09,2.1781208294456514e-09,2.5261114989751325e-09,2.0841531107131261e-09,3.3351881395223871e-09,,,,-1.2423970484339447e-09,1.0860020283986814e-09,-1.3356478667144827e-09,7.9555397579676931e-09,-4.3938694980549112e-08,2.8600602905477499e-09,-3.7148891106886102e-09,8.0048122946410104e-09,2.923408318028633e-08,-1.10073648990866e-07,2.8552678289753031e-07,,,,-6.8475022790729291e-09,2.2511560905262802e-08,-4.9748132532923728e-07,-6.9347330011708434e-09,1.6439889144529918e-08,-3.6465158996617111e-09,6.3078722638999934e-09,2.8572988229574215e-09,-3.0074918655744437e-09,-6.3409802980445093e-09,5.6872204466264389e-09,-4.8947965150243791e-09,-1.0673248797011452e-08
CONSTRUCTION,2.0436050255515055e-09,1.6715313068617853e-09,9.2507583068106258e-12,-5.9271997776585518e-10,2.6197111605094293e-10,5.0686092252162619e-10,1.2385881924427077e-10,1.4782369480038071e-09,8.7165789864881e-09,4.2247921345320407e-09,-5.6155367118822117e-10,4.3208334685054978e-09,5.4286622509151238e-10,4.320023579285184e-10,3.5193180332021716e-10,1.2565983532050154e-09,2.397130833833249e-09,-9.7088538118067484e-09,1.529825074162952e-08,2.3860406702805082e-09,-3.4489180329117948e-07,5.4853462506735677e-09,2.6567986694597041e-09,-3.0731876167402009e-10,5.7702821339818431e-08,6.7815997813037873e-09,1.2299137462670697e-09,2.5192275473401691e-09,4.2933270061449105e-09,-6.0793398570524246e-10,-2.6254110595880125e-11,,,,7.3646062095149555e-10,6.1609546567909578e-09,3.1496889516303542e-09,9.6679225302754219e-09,-1.4766333334026283e-07,,,,,,,,,,,,,,,,,,,,,,
Calorie Labeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Vehicle Placard Complaint,-7.6315797869100713e-10,1.6015559431047088e-09,3.5091520067582929e-10,3.0424540595058438e-09,1.1403003760994986e-09,4.6628550680113645e-10,2.5498024100997705e-10,9.6946353669098362e-10,3.1710980998261254e-10,2.4954741966202103e-09,1.7181213571661312e-09,1.8959099682159389e-09,9.1951056259483981e-10,9.8083203317408842e-09,-3.2053754377184636e-08,3.4448689342634352e-09,1.6519104857041035e-09,-6.4486666734554797e-09,1.343338154109287e-08,-4.7372919589570189e-10,6.926429285206878e-07,1.4014354571138828e-09,3.6102542580164659e-09,2.3425816458990797e-09,2.8939317918390127e-08,7.6152464136371459e-09,3.1986384367806289e-09,3.5417862421734289e-10,4.1081495844241121e-09,3.7428042195832053e-09,3.9587086683331843e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collection Truck Noise,-1.0529571923125763e-11,1.5532278371598722e-09,-1.3757725585047444e-09,6.0050613040927734e-09,8.9209523418260713e-10,4.130200125720041e-10,1.2073437501193901e-09,5.3940380231550528e-10,-1.1767607227647218e-09,2.5790179685972149e-09,8.0275883088492008e-10,1.7072870576163419e-09,1.2832419665094679e-09,4.4945027282909635e-09,-1.2705826988615952e-08,3.4805680097658799e-09,9.4902050020466232e-10,-6.7662488249711632e-09,1.2707020440722911e-08,1.8948844386499646e-10,2.1349320642936981e-07,2.1255919675142451e-09,1.4687945044534065e-09,1.9062935109387832e-09,2.8224783463642717e-08,4.0104741318999372e-09,4.0467498715582635e-09,1.6762897779462978e-09,2.2518630905557426e-09,2.9380074603454849e-09,2.8064398874812162e-09,,,,,,,,,,,6.9324562552081693e-09,7.8555926057715636e-09,-5.3055426632468276e-08,1.8776440677802684e-07,,,,,,,,,,,,,,,,
Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Complaint,-7.6537963970327372e-08,1.8582060372543491e-07,-4.1797193177865073e-09,2.4650989192133648e-08,3.4666620539519416e-08,2.3443117463657164e-08,5.7613011587316467e-08,3.4674477939781354e-08,8.5636683325665311e-08,7.2973198708132386e-08,1.3066496454985084e-07,4.0038405811116902e-08,2.0055978447599917e-07,2.7382337258004393e-07,-1.8143897657996865e-06,6.7985301721312535e-08,1.1390394954569899e-07,1.1874946422992115e-08,1.089985057890506e-07,1.4027111186270452e-08,-4.9812868605959006e-06,4.2185270454293753e-07,-4.2332994598904557e-07,1.856265783181946e-07,,,,1.3086731951900866e-07,9.5992497885418158e-08,2.6467519563240565e-07,4.2078947015377802e-07,-2.3942394336146265e-07,5.2483305224469572e-07,-9.4258770447002447e-07,-1.3932189838205676e-07,-1.2596199271005774e-07,3.0697245475968014e-07,2.5601754549709921e-07,4.662451986980095e-07,7.6340625511853088e-08,-4.9778732303855976e-08,7.7732812842212157e-08,1.8554085256112564e-06,-4.4990836786230843e-06,6.9593945001536422e-06,,-2.8888306463090126e-08,6.509750001178255e-08,-2.7901313653453534e-07,8.4826200050886786e-07,-2.8023802746473887e-05,4.5654305179927341e-07,-5.1670657344762301e-07,1.6558253442362321e-08,3.9909358279375757e-07,5.881663725961406e-08,-5.2223316140058935e-08,-1.9053117838756234e-07,1.7245210523212197e-07,-6.0152577636004916e-08,2.2391424120803275e-07
Cranes and Derricks,,,,,,,,,,,,,,,,,,-4.3429982155839001e-08,6.0622515698822524e-08,-3.1768933358328996e-09,3.3998737267546151e-07,,,,,,,,,,2.3600548893270056e-08,-1.069513025843867e-08,2.8372237839206988e-08,-5.9299712428199662e-08,-7.4095339184744505e-10,5.1362195212791775e-09,-1.0862975726793732e-08,-3.2766946914831669e-09,8.8757720707000808e-08,2.7982965989271971e-09,-2.1516159398643897e-09,3.5173735582032669e-09,2.3421119309625644e-08,-4.7710702999549806e-08,2.4044921968806989e-08,,1.3400511580160904e-09,5.8506978103620562e-10,-1.8082231508848247e-09,1.3805361660620483e-08,-2.687541669013277e-07,-5.6976275525168148e-09,1.3880155317457211e-08,-2.3890619255392893e-09,-7.6833879417034683e-09,5.1772419687718995e-09,-2.2276237508340538e-09,-2.5431873109212029e-09,3.7893733519519857e-09,-2.2476466348537125e-09,-7.7013365502483175e-09
Curb Condition,6.2162351141678798e-09,-4.6677746810842068e-09,7.3164686362788707e-09,-2.4195438413865874e-09,2.8890589626722871e-09,8.6580029316926755e-10,5.008680119549825e-09,2.2570086431118696e-09,3.533938895893377e-09,1.5501362781108013e-08,-5.623054618470667e-09,1.1069693847723877e-08,8.0733215786352041e-09,3.4612871071989976e-09,-6.014651553958122e-08,1.4144607091254506e-08,3.0701591784294981e-09,5.8714356006217294e-08,-5.086870727279109e-08,2.2857443107717289e-09,2.3286207021822573e-07,-1.1689326623490943e-08,5.3212590531082018e-08,-5.8524338616129989e-09,3.160355401770858e-08,1.7755290076652004e-08,1.8985925469386108e-08,-6.2106595189681804e-09,2.2228186625461336e-08,-5.0081051002450379e-09,-1.1133179890877616e-09,,,,,,,,,,,1.1289281352123841e-08,1.901216878586298e-07,-4.8736478269818366e-07,7.2243631230537811e-07,,,,,,,,,,,,,-4.5174028303933964e-08,3.181285077371905e-08,-1.835017548150627e-08,
DOOR/WINDOW,2.998447774974852e-07,1.8845720379267323e-07,-5.4798819890188937e-08,-2.5884186152887115e-07,1.8256816089837982e-08,9.8326045827590293e-08,-5.9447295516151485e-08,1.5797204940360593e-07,-9.799912800411943e-08,2.9438810379752602e-07,-2.1604163068097891e-08,4.0070626783650677e-07,-6.4871959197377983e-08,-1.3454965027051061e-07,1.0859209633349117e-06,-1.806599430506038e-07,3.0441206543522722e-07,-3.8592244603127847e-07,4.1994090540908069e-07,3.2365533038816235e-07,-3.5856200948174418e-05,9.68617154254564e-07,-3.6187746964132135e-07,-1.0832888374560643e-07,2.261008117627638e-06,3.2275113173885099e-07,9.0780367733251439e-08,4.6776707325660078e-07,2.7172236352629873e-07,-2.5488367586897847e-07,-2.4108230829154889e-07,,,,-1.2345989351650143e-07,9.6464575764867539e-08,-1.8517765645405213e-07,8.4747150300723896e-07,-5.0928625164496296e-06,,,,,,,,,,,,,1.3534465380602377e-06,-1.6085741784311693e-06,6.8262305965827896e-09,4.11507892286204e-06,-2.3114127978757724e-07,-2.8618780444441439e-07,,,,
DPR Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaged Tree,,,,,,,,,,,,,,,,5.5568676983972814e-07,-8.6963605571646846e-08,-2.9960291448520243e-07,1.0562834975981233e-06,-9.6083728904374028e-08,1.0312908121681173e-05,,,,-3.5586059729699824e-07,7.0097560111100605e-07,2.505198049604096e-07,,,,9.8021810603918346e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Tree,2.9390671971149419e-09,-1.4886717513527667e-07,1.0704602191944094e-07,1.7378594091220402e-07,4.5052440398004549e-08,2.1768139757766075e-08,2.4348382442822595e-08,-4.3386614680885189e-09,2.2892747773599427e-08,1.4612492982292713e-07,-5.9631669015316107e-08,9.1129197515476467e-08,-1.7175549387641068e-09,2.7295910672667768e-07,-9.8518767088323669e-07,3.1040457028820749e-07,-5.2002656019221992e-08,-3.7866386216066252e-07,8.3789984437267303e-07,-6.9872118548218553e-08,8.0578668152290097e-06,-2.4252995531646616e-07,5.2637650803884013e-07,1.9864324037502495e-08,-1.0100205470289325e-07,3.2837604800243823e-07,1.7562055869286204e-07,,,,1.0920524935975212e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derelict Bicycle,-3.4586448437292101e-08,5.1168158213032197e-08,-6.5033464925949336e-09,-1.3094275196704388e-08,9.1935673622536382e-09,-6.5860985809277924e-10,-3.1664140129269165e-09,7.2325301613483953e-10,1.8384110392208332e-08,-1.4256147776478232e-08,3.7500869207628906e-08,-2.9094622233643413e-08,8.382322451590523e-08,-2.2325202353350118e-08,-2.8950154827373341e-07,-1.2825034196033752e-10,1.4773156210547456e-08,-1.5632308380694296e-07,1.774501173780606e-07,-6.8004765282139174e-09,7.8238583590460108e-06,4.0619101564346796e-08,-7.7554560668338126e-08,3.9246652525583337e-08,,,,1.808807848439086e-08,-5.9484448537129417e-09,5.6068359669910763e-08,5.4936372082194869e-08,-1.6178266530056767e-08,1.7659250645666779e-07,-4.9599026648680682e-07,-1.1875094794094416e-08,2.8526523484451718e-08,4.6477636894544101e-08,1.9457053916132367e-08,-3.1135088635367329e-07,1.6260710585378583e-08,-1.9666918897266746e-08,2.5043693095018972e-09,5.0045531645445988e-07,-1.1306490772184247e-06,1.2057740274054e-06,,-2.892084315231284e-08,2.1741539269728794e-08,-4.9351622730976433e-08,1.0137035143937551e-07,4.867871999939364e-06,-5.6168004518238108e-09,5.1337714208808168e-08,-1.8744904609971139e-08,2.72365051896141e-07,-1.9510904385498936e-08,-1.2332818536093805e-08,8.9453506767863871e-08,-3.3974640331614083e-08,-2.1433197746589303e-08,-2.6612482282692685e-07
Derelict Vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derelict Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirty Conditions,,,,,,,,,,,,3.0312828142145829e-07,9.6818398793006607e-08,3.0789092798517445e-07,-1.4825995747544905e-06,,,-9.07176284176205e-07,1.5896553789635228e-06,5.8267484074405303e-08,9.4607176973737745e-06,,,,,,,,,,1.3570413473123075e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disorderly Youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drinking,-3.4373504183830552e-09,8.4780855438345513e-09,5.8550851622622586e-09,-1.1117810673909847e-08,1.5584260393034863e-09,1.762596282133293e-10,2.351615332190456e-09,4.4569441424896023e-09,1.3024731797790537e-08,8.8197668643350928e-09,3.3826164101836361e-09,6.3108790810192131e-09,2.2282756032220812e-08,-2.1164324993490434e-08,-3.0246396761235808e-08,3.091884721864613e-09,7.9956378490627701e-09,5.1362601794778002e-09,2.9683672821482448e-09,3.933339000196659e-09,1.6862600912029612e-07,1.6495933199650565e-08,4.403844922144e-09,1.8218564891105972e-09,,,,6.99725463823153e-09,1.2224170716579896e-08,4.2529985032249394e-09,9.5805768326783283e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
